# よく使う食材の入力補助データ
#
# 成分表に収載されていない情報だけをここで管理する:
#   - 短い表示名（成分表の正式名は「＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生」
#     のように長く、料理中の入力には向かないため）
#   - 読み仮名（「ぶた」で検索して豚肉を出すため）
#   - 比重 g/mL（小さじ・大さじをグラムへ換算するため）
#   - 1個/1本/1枚あたりの重量（個数入力のため）
#   - 入力画面の既定の単位と数量（入力回数を減らすため）
#
# ⚠ 栄養価はここには書かない。栄養価は必ず foods.csv（成分表の公式データ）を使う。
#   このファイルは手入力なので、栄養価と混ぜないよう分離している。
#
# food_code は成分表の食品番号。この番号で foods.csv と結合する。
# ここに載っている食材は「よく使う食材」として検索結果の上位に出る。
#
food_code,display_name,reading,grams_per_ml,piece_grams,piece_unit_id,default_unit_id,default_amount
01088,ご飯,ごはん こめ,1.0,,,g,150
01026,食パン,しょくぱん,1.0,60,sheet,sheet,1
01039,ゆでうどん,うどん,1.0,230,pack,pack,1
01064,スパゲッティ（ゆで）,すぱげってぃ ぱすた,1.0,,,g,250
01128,そば（ゆで）,そば,1.0,180,pack,pack,1
01015,薄力粉,はくりきこ こむぎこ,0.55,,,tbsp,1
02034,片栗粉,かたくりこ,0.6,,,tbsp,1
11123,豚ロース,ぶたろーす ぶたにく,1.0,,,g,100
11129,豚バラ,ぶたばら ぶたにく,1.0,,,g,100
11119,豚肩ロース,ぶたかたろーす ぶたにく,1.0,,,g,100
11140,豚ヒレ,ぶたひれ ぶたにく,1.0,,,g,100
11163,豚ひき肉,ぶたひきにく,1.0,,,g,100
11220,鶏むね肉（皮なし）,とりむねにく とりにく,1.0,,,g,100
11221,鶏もも肉（皮つき）,とりももにく とりにく,1.0,,,g,100
11227,鶏ささみ,とりささみ,1.0,45,stick,g,100
11230,鶏ひき肉,とりひきにく,1.0,,,g,100
11077,牛もも肉（赤身）,ぎゅうももにく ぎゅうにく,1.0,,,g,100
11074,牛バラ,ぎゅうばら ぎゅうにく,1.0,,,g,100
11089,牛ひき肉,ぎゅうひきにく,1.0,,,g,100
11183,ベーコン,べーこん,1.0,17,sheet,sheet,1
11232,鶏レバー,とりればー きも,1.0,,,g,50
11166,豚レバー,ぶたればー きも,1.0,,,g,50
10134,さけ,さけ しゃけ,1.0,80,sheet,sheet,1
10253,まぐろ赤身,まぐろ,1.0,,,g,80
10154,さば,さば,1.0,80,sheet,sheet,1
10003,あじ,あじ,1.0,70,stick,stick,1
10241,ぶり,ぶり,1.0,80,sheet,sheet,1
10415,えび,えび,1.0,15,stick,g,100
10281,あさり,あさり,1.0,,,g,50
10055,しらす干し,しらす,1.0,,,g,10
10260,ツナ缶（水煮）,つな,1.0,70,pack,pack,1
12004,鶏卵,たまご,1.0,50,piece,piece,1
13003,牛乳,ぎゅうにゅう,1.03,,,ml,200
13040,プロセスチーズ,ちーず,1.0,18,sheet,sheet,1
13025,ヨーグルト（無糖）,よーぐると,1.03,,,g,100
04046,納豆,なっとう,1.0,45,pack,pack,1
04032,木綿豆腐,もめんどうふ とうふ,1.0,300,pack,g,150
04033,絹ごし豆腐,きぬごしどうふ とうふ,1.0,300,pack,g,150
04040,油揚げ,あぶらあげ,1.0,30,sheet,sheet,1
04052,豆乳,とうにゅう,1.03,,,ml,200
06061,キャベツ,きゃべつ,1.0,1200,piece,g,100
06153,たまねぎ,たまねぎ,1.0,200,piece,piece,1
06214,にんじん,にんじん,1.0,150,stick,g,50
02017,じゃがいも,じゃがいも,1.0,150,piece,piece,1
06267,ほうれん草,ほうれんそう,1.0,200,bunch,g,80
06086,小松菜,こまつな,1.0,200,bunch,g,80
06182,トマト,とまと,1.0,150,piece,piece,1
06191,なす,なす,1.0,80,piece,piece,1
06263,ブロッコリー,ぶろっこりー,1.0,200,piece,g,80
06245,ピーマン,ぴーまん,1.0,35,piece,piece,1
06291,もやし,もやし,1.0,200,pack,pack,1
06226,長ねぎ,ながねぎ ねぎ,1.0,100,stick,stick,1
06134,大根,だいこん,1.0,1000,piece,g,100
06065,きゅうり,きゅうり,1.0,100,stick,stick,1
06233,白菜,はくさい,1.0,1000,piece,g,100
06223,にんにく,にんにく,1.0,5,clove,clove,1
06103,しょうが,しょうが,1.0,15,piece,g,10
08016,しめじ,しめじ,1.0,100,pack,pack,1
08039,生しいたけ,しいたけ,1.0,15,piece,piece,2
17007,こいくち醤油,しょうゆ,1.15,,,tsp,1
17012,食塩,しお,1.2,,,g,1
03003,上白糖,さとう,0.6,,,tsp,1
17045,味噌（淡色辛みそ）,みそ,1.2,,,tbsp,1
16025,みりん,みりん,1.17,,,tbsp,1
16001,料理酒,りょうりしゅ さけ,0.99,,,tbsp,1
14006,サラダ油,さらだあぶら あぶら,0.92,,,tsp,1
14002,ごま油,ごまあぶら,0.92,,,tsp,1
14001,オリーブオイル,おりーぶおいる,0.92,,,tsp,1
14017,バター（有塩）,ばたー,0.95,,,g,10
17042,マヨネーズ,まよねーず,0.95,,,tbsp,1
17036,ケチャップ,けちゃっぷ,1.14,,,tbsp,1
17015,穀物酢,す おす,1.0,,,tbsp,1
17002,中濃ソース,そーす,1.15,,,tbsp,1
17028,顆粒和風だし,だし わふうだし,0.5,,,tsp,1
17027,固形ブイヨン,こんそめ ぶいよん,0.5,,,tsp,1
07107,バナナ,ばなな,1.0,90,piece,piece,1
07148,りんご,りんご,1.0,250,piece,piece,1
07027,みかん,みかん,1.0,80,piece,piece,1
09004,焼きのり,のり,1.0,3,sheet,sheet,1
09044,カットわかめ,わかめ,1.0,,,g,5
05018,いりごま,ごま,0.5,,,tsp,1
